transaction_id,sender,receiver,amount,timestamp
T001,A001,A005,10000,2026-08-29 10:00:00
T002,A002,A005,15000,2026-08-29 10:03:00
T003,A003,A005,12000,2026-08-29 10:05:00
T004,A004,A005,9000,2026-08-29 10:07:00
T005,A005,A010,43000,2026-08-29 10:10:00
T006,A010,A020,40000,2026-08-29 10:13:00
T007,A006,A007,500,2026-08-29 11:00:00
T008,A007,A008,700,2026-08-29 11:20:00
T009,A008,A009,600,2026-08-29 12:00:00
T010,A009,A006,550,2026-08-29 12:30:00
T011,A011,A012,2000,2026-08-29 13:00:00
T012,A012,A013,1500,2026-08-29 14:00:00
T013,A013,A014,1000,2026-08-29 15:00:00
T014,A015,A030,90000,2026-08-29 16:00:00
T015,A016,A030,85000,2026-08-29 16:05:00
T016,A017,A030,95000,2026-08-29 16:10:00
T017,A018,A030,80000,2026-08-29 16:15:00
T018,A019,A030,90000,2026-08-29 16:20:00
